symbol,price,date
TRXUSDC,0.06997,2022-04-05 20:16:56
BTTBTC,5e-08,2022-04-05 20:16:56
BTTBNB,5.73e-06,2022-04-05 20:16:56
BTTUSDT,0.002777,2022-04-05 20:16:56
BNBUSDS,22.2788,2022-04-05 20:16:56
BTCUSDS,9604.59,2022-04-05 20:16:56
USDSUSDT,0.9968,2022-04-05 20:16:56
USDSPAX,1.0002,2022-04-05 20:16:56
USDSTUSD,1.0,2022-04-05 20:16:56
USDSUSDC,1.0,2022-04-05 20:16:56
BTTPAX,0.0003866,2022-04-05 20:16:56
BTTTUSD,0.00277,2022-04-05 20:16:56
BTTUSDC,0.002776,2022-04-05 20:16:56
ONGBNB,0.00545,2022-04-05 20:16:56
ONGBTC,1.796e-05,2022-04-05 20:16:56
ONGUSDT,0.8245,2022-04-05 20:16:56
HOTBNB,1.44e-05,2022-04-05 20:16:56
HOTUSDT,0.006486,2022-04-05 20:16:56
ZILUSDT,0.12623,2022-04-05 20:16:56
ZRXBNB,0.01045,2022-04-05 20:16:56
ZRXUSDT,0.8188,2022-04-05 20:16:56
FETBNB,0.001168,2022-04-05 20:16:56
FETBTC,1.136e-05,2022-04-05 20:16:56
FETUSDT,0.5208,2022-04-05 20:16:56
BATUSDT,0.8555,2022-04-05 20:16:56
XMRBNB,0.497,2022-04-05 20:16:56
XMRUSDT,223.1,2022-04-05 20:16:56
ZECBNB,0.3728,2022-04-05 20:16:56
ZECUSDT,167.4,2022-04-05 20:16:56
ZECPAX,42.1,2022-04-05 20:16:56
ZECTUSD,51.48,2022-04-05 20:16:56
ZECUSDC,167.1,2022-04-05 20:16:56
IOSTUSDT,0.03543,2022-04-05 20:16:56
CELRBNB,0.00014148,2022-04-05 20:16:56
CELRBTC,1.38e-06,2022-04-05 20:16:56
CELRUSDT,0.06357,2022-04-05 20:16:56
ADAPAX,0.03257,2022-04-05 20:16:56
ADAUSDC,1.179,2022-04-05 20:16:56
NEOPAX,11.122,2022-04-05 20:16:56
NEOUSDC,28.27,2022-04-05 20:16:56
DASHBNB,0.2878,2022-04-05 20:16:56
DASHUSDT,129.2,2022-04-05 20:16:56
NANOUSDT,2.224,2022-04-05 20:16:56
OMGBNB,0.03938,2022-04-05 20:16:56
OMGUSDT,5.55,2022-04-05 20:16:56
THETAUSDT,3.784,2022-04-05 20:16:56
ENJUSDT,1.721,2022-04-05 20:16:56
MITHUSDT,0.0464,2022-04-05 20:16:56
MATICBNB,0.003579,2022-04-05 20:16:56
MATICBTC,3.503e-05,2022-04-05 20:16:56
MATICUSDT,1.606,2022-04-05 20:16:56
ATOMBNB,0.06607,2022-04-05 20:16:56
ATOMBTC,0.0006463,2022-04-05 20:16:56
ATOMUSDT,29.65,2022-04-05 20:16:56
ATOMUSDC,29.6,2022-04-05 20:16:56
ATOMPAX,3.178,2022-04-05 20:16:56
ATOMTUSD,2.598,2022-04-05 20:16:56
ETCUSDC,4.71,2022-04-05 20:16:56
ETCPAX,4.838,2022-04-05 20:16:56
ETCTUSD,3.795,2022-04-05 20:16:56
BATUSDC,0.6313,2022-04-05 20:16:56
BATPAX,0.2556,2022-04-05 20:16:56
BATTUSD,0.2222,2022-04-05 20:16:56
PHBBNB,0.000137,2022-04-05 20:16:56
PHBBTC,5.51e-06,2022-04-05 20:16:56
PHBUSDC,0.00587,2022-04-05 20:16:56
PHBTUSD,0.229,2022-04-05 20:16:56
PHBPAX,0.00639,2022-04-05 20:16:56
